Product_id,BrandName,Category,Individual_category,category_by_Gender,Description,OriginalPrice (in Rs),SizeOption,Ratings,Reviews,Discount offer(in Rs.),Discount price,Discount offer(%),Column1,,,
12817380,HERE&NOW,Topwear,tshirts,Men,herenow men red  black cotton printed detail round neck t shirt,599,"S, M, L, XL",4.3,971,269.55,329,45%,Low Discount,,,
8860565,Sangria,Indian Wear,tops,Women,sangria navy blue tie dye blouson top,1699,"XS, S, M, L, XL, XXL, 3XL",4.3,971,849.5,849,50%,Low Discount,,,
17381456,Roadster,Western,tshirts,Women,roadster women pack of 2 solid t shirts,1198,"XS, S, M, L, XL",4.3,971,599,599,50%,Low Discount,,,
17383018,Roadster,Western,tshirts,Women,roadster women black  maroon pack of 2 typography print round neck regular fit t shirts,1498,"M, S, XS, XL, L",4.3,971,749,749,50%,Low Discount,,,
10856446,Roadster,Western,tops,Women,the roadster lifestyle co black top with side stripes,1499,"XS, S, M, L, XL",4,971,899.4,599.6,60%,High Discount,,,
2472860,Anouk,Indian Wear,kurtas,Women,anouk women blue  pink floral print a line kurta,1799,"XS, S, M, L, XL, XXL",3.7,970,989.45,809,55%,High Discount,,,
13249520,Sangria,Plus Size,dresses,Women,sangria white  black chevron print pure cotton a line dress,1299,"XS, S, M, L, XL, XXL, 3XL",4,970,779.4,519,60%,High Discount,,,
2167359,Roadster,Bottom Wear,trousers,Men,roadster men khaki slim fit solid chinos,1999,"28, 30, 32, 34, 36",4.2,969,1099.45,899,55%,High Discount,,,
2338881,WROGN,Topwear,tshirts,Men,wrogn men maroon printed t shirt,799,"S, M, L, XL, XXL",4.3,969,399.5,399,50%,Low Discount,,,
10188591,WROGN,Topwear,tshirts,Men,wrogn men burgundy solid slim fit round neck pure cotton t shirt,899,"S, M, L, XL, XXL",4.3,969,449.5,449,50%,Low Discount,,,
1829161,Sera,Western,dresses,Women,sera women burgundy  pink printed tailored dress,1299,"S, M, L, XL",3.7,969,649.5,649.5,50%,Low Discount,,,
11363214,WROGN,Topwear,tshirts,Men,wrogn men black  white placement printed round neck t shirt,699,"S, M, L, XL, XXL",4.5,968,314.55,384,45%,Low Discount,,,
